"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"GMB","GM",4913,47636,47636,16793,-15.5489028,13.4618036,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5875,NA,NA,NA,NA,0,316,316,316,204,NA,NA,NA,NA,NA,98.4925966824848,6.08045731529556,0.0158328742894548,92.4121379300379,1.49157051921081
"GMB","GM",4911,47630,47630,17019,-15.13139333,13.74913167,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5784,NA,NA,NA,NA,0,318,318,318,205,NA,NA,NA,NA,NA,87.7416852642102,23.5382307697988,0.335926734666429,64.2034557094027,11.9223870852316
"GMB","GM",4914,47646,47646,17069,-15.439896,13.583007,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5958,NA,NA,NA,NA,1461.3690482101,320,320,320,206,48.1125297546387,43.5740966796875,1.19908809661865,4.53843641281128,0.688381612300873,87.4126224505986,9.40949230497247,0.479306566980828,78.0031291770971,12.1080711059702
"GMB","GM",4911,47629,47629,17015,-14.866268,13.766006,1,NA,NA,2015,NA,NA,44,1,44,3,44,0,1,5776,0.0227272727272727,0.0681818181818182,0,0.0843014189926711,0,322,322,322,208,NA,NA,NA,NA,NA,77.9375625501824,21.5206330947505,0.260481254042483,56.4169301666333,21.8019545129255
"GMB","GM",4915,47654,47654,17101,-14.0311791,13.3813713,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6038,NA,NA,NA,NA,0,324,324,324,209,NA,NA,NA,NA,NA,76.7372825638618,14.4134227980847,0.229100391116748,62.323859905595,23.0336158001899
"GMB","GM",4916,47663,47663,16924,-16.5341014,13.2714395,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6120,NA,NA,NA,NA,0,327,327,327,211,NA,NA,NA,NA,NA,NA,7.41336819609561,0.0629758917832978,NA,6.25423613735561
"GMB","GM",4911,47631,47631,17037,-14.54621333,13.62318167,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5809,NA,NA,NA,NA,0,329,329,329,212,25.9011745452881,22.7995204925537,16.3849544525146,3.10165333747864,7.71387147903442,76.3732307749706,22.7103387254314,0.964880682190464,53.6628914658236,22.6618890040486
"GMB","GM",4914,47644,47644,16970,-16.0500574,13.5200774,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5931,NA,NA,NA,NA,49.4960177793626,331,331,331,213,NA,NA,NA,NA,NA,99.278917098544,0.00215970786448561,0.00500724230210508,99.2767574236662,0.716075653038047
"GMB","GM",4914,47644,47644,16971,-16.05050167,13.52006,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5925,0,0,0,0,49.4960177793626,332,332,332,214,NA,NA,NA,NA,NA,99.2625622445745,0.00213056863896097,0.00508906768060259,99.2604317084772,0.732348681879222
"GMB","GM",4915,47648,47648,52554,-14.1959978,13.2375414,1,NA,NA,2005,NA,NA,30,0,30,1,30,0,2,5976,0,0.0333333333333333,0,0.0314465408805031,3902.60445299007,333,333,333,215,NA,NA,NA,NA,NA,73.3933431886715,20.7203770491933,0.0239201632859602,52.6729674944852,26.5827318178333
"GMB","GM",4914,47641,47641,52555,-15.966128,13.483927,3,NA,NA,2010,NA,NA,50,0,50,0,50,0,1,5907,0,0,0,0,10218.5853172363,334,334,334,216,NA,NA,NA,NA,NA,48.6056822571882,44.315161772218,0.0689890700118685,4.29052036282216,51.3253280247181
"GMB","GM",4911,47631,47631,17039,-14.55922667,13.56749333,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5806,0,0,0,0,358.418530537855,335,335,335,217,NA,NA,NA,NA,NA,86.0911061042557,14.8674997101562,1.54307446587477,71.2236050675384,12.3658201402516
"GMB","GM",4916,47661,47661,16759,-16.0419754,13.2287944,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6092,NA,NA,NA,NA,0,337,337,337,219,NA,NA,NA,NA,NA,91.3572306472007,14.5508529486826,0.416454317786005,76.8063762256406,8.22631639571212
"GMB","GM",4916,47664,47664,16955,-16.766675,13.38449667,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6147,0,0,0,0,98.0958352832971,339,339,339,220,NA,NA,NA,NA,NA,82.3174334349919,22.9211533867408,0.448639845558201,59.3962828563017,17.2339254949457
"GMB","GM",4911,47623,47623,16775,-14.99514,13.50052333,3,NA,NA,2015,NA,NA,51,0,51,0,51,0,1,5748,0,0,0,0,1315.71401648303,340,340,340,221,23.7973526098866,20.7990054216869,18.0779026513346,2.99834604514378,6.86437583849019,60.3844659757897,27.8518531179792,0.756991890501071,32.5326123152808,38.8585436374423
"GMB","GM",4915,47653,47653,17051,-13.9803931,13.3602498,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6017,NA,NA,NA,NA,0,342,342,342,223,NA,NA,NA,NA,NA,71.7975570053726,24.4524096812299,0.231699463528749,47.3451496391335,27.9707425949521
"GMB","GM",4915,47655,47655,17088,-13.89056667,13.54723333,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6045,NA,NA,NA,NA,0,346,346,346,226,62.0038394921738,50.9559764044673,37.6260663353026,11.0478650726179,13.7344657549307,64.7912913022093,26.9498434884102,0.27674784075965,37.841446998127,34.9319612835451
"GMB","GM",4912,47633,47633,16857,-16.6880841,13.4502991,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5844,NA,NA,NA,NA,0,349,349,349,228,NA,NA,NA,NA,NA,99.9927967389465,9.85290121504543,7.83298301838926e-05,90.1398966958605,0.00712492307326109
"GMB","GM",4913,47637,47637,52570,-15.7314496,13.3794498,1,NA,NA,2010,NA,NA,50,1,50,1,50,0,1,5884,0.02,0.02,0,0.0373584905660377,0,353,353,353,229,NA,NA,NA,NA,NA,83.5972570463974,28.7549768971876,0.0301182439287265,54.8422757947634,16.3726278300205
"GMB","GM",4916,47664,47664,16939,-16.67963667,13.39526167,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6137,NA,NA,NA,NA,0,356,356,356,230,NA,NA,NA,NA,NA,96.7131298281867,95.6030837444346,0.0415327584059691,1.11004887247537,3.24533453179537
"GMB","GM",4911,47627,47627,16998,-15.03328167,13.61319167,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5753,NA,NA,NA,NA,0,358,358,358,231,NA,NA,NA,NA,NA,84.6645841694685,16.0098849674275,1.29863116608233,68.6547011394848,14.0367841249454
"GMB","GM",4914,47646,47646,17070,-15.41209833,13.54538333,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5959,NA,NA,NA,NA,0,360,360,360,232,NA,NA,NA,NA,NA,81.8967896794206,16.8279141088635,0.812601292310971,65.0688750587916,17.2906093160754
"GMB","GM",4913,47634,47634,52559,-15.397386,13.413016,3,NA,NA,2010,NA,NA,50,4,50,0,50,0,1,5863,0.08,0,0,0.0754716981132075,2625.77395696938,362,362,362,233,NA,NA,NA,NA,NA,74.3716675798138,24.3797528733916,0.0418133037923533,49.9919162099655,25.5865188756724
"GMB","GM",4911,47628,47628,17006,-15.2872,13.54892,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5769,0,0,0,0,3808.04296254761,363,363,363,234,NA,NA,NA,NA,NA,75.9457966548393,31.3684254694719,0.296860201890411,44.5773699372887,23.75734515192
"GMB","GM",4916,47663,47663,16926,-16.4921253,13.1828242,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6125,NA,NA,NA,NA,296.88082198099,364,364,364,235,8.47230734819334,6.63313792623846,1.5309893448877,1.83916934120841,1.21427480394734,78.9836982984698,27.8930798874848,0.132000945080663,51.0906196974605,20.884302234943
"GMB","GM",4911,47623,47623,16777,-14.6791893,13.4517208,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5742,NA,NA,NA,NA,0,366,366,366,237,NA,NA,NA,NA,NA,91.6289433876111,12.9620032584934,0.32241172640927,78.6669403851063,8.04864525289577
"GMB","GM",4913,47636,47636,16795,-15.5386447,13.4442078,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5877,NA,NA,NA,NA,0,368,368,368,238,NA,NA,NA,NA,NA,99.7358818240403,1.41203643474571,0.0027741556569622,98.3238453049918,0.26134472663248
"GMB","GM",4916,47659,47659,16744,-16.3037052,13.2063104,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6075,NA,NA,NA,NA,0,370,370,370,239,NA,NA,NA,NA,NA,48.9988983551575,8.20465891492903,1.32719696049013,40.794235383729,49.6739050369636
"GMB","GM",4911,47627,47627,52579,-15.1076233,13.6446628,1,NA,NA,2010,NA,NA,50,8,50,0,50,2,1,5754,0.16,0,0.04,0.182641509433962,0,373,373,373,240,NA,NA,NA,NA,NA,59.2210399173906,45.7116356231514,0.421914114029974,13.5094032812308,40.3570465535528
"GMB","GM",4916,47664,47664,16940,-16.742675,13.3664,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6156,NA,NA,NA,NA,0,375,375,375,241,NA,NA,NA,NA,NA,88.0524723329434,20.9423419415288,0.179862601838231,67.1101330070459,11.7676646850871
"GMB","GM",4915,47651,47651,52568,-14.3195552,13.2938731,1,NA,NA,2005,NA,NA,31,3,31,1,31,0,2,6000,0.0967741935483871,0.032258064516129,0,0.118783499892015,0,377,377,377,242,NA,NA,NA,NA,NA,75.299037799825,25.237491314585,0.00643867353167752,50.0615482856017,24.6945195429621
"GMB","GM",4916,47661,47661,16761,-15.9980018,13.1743454,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6084,0,0,0,0,342.632915493441,382,382,382,243,18.62650016701,15.5400976783255,9.34620260236696,3.08640265355377,3.59398916230428,75.6501875652396,22.0660181750608,0.493869916752543,53.5841697871315,23.8559405606785
"GMB","GM",4914,47646,47646,17071,-15.59481,13.57505,3,NA,NA,2015,NA,NA,47,0,47,0,47,0,1,5969,0,0,0,0,680.132304719934,383,383,383,244,23.7368278537282,23.4159907788194,4.5891750235385,0.32083774455209,1.79838134748345,90.0187894136013,14.6284047599909,0.0609557728456845,75.3903848484608,9.92025309062108
"GMB","GM",4916,47664,47664,16959,-16.73102,13.366685,3,NA,NA,2015,NA,NA,50,0,50,2,50,1,1,6150,0,0.04,0.02,0.0558490566037736,815.741104997316,384,384,384,245,NA,NA,NA,NA,NA,90.7896224111816,19.9509797581491,0.119252812611411,70.8386438242222,9.09112582582571
"GMB","GM",4912,47633,47633,16860,-16.68027667,13.45416167,3,NA,NA,2015,NA,NA,49,0,49,0,49,0,1,5833,0,0,0,0,417.566457147549,385,385,385,246,NA,NA,NA,NA,NA,100,12.809868768159,1.72724123275674e-16,87.1901324934041,1.54353394696701e-14
"GMB","GM",4914,47645,47645,16985,-16.54236667,13.48179667,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5941,0,0,0,0,622.321525821322,390,390,390,248,NA,NA,NA,NA,NA,NA,33.1193908044861,0.308441022369833,88.6111425937871,21.6446385984211
"GMB","GM",4915,47651,47651,52569,-13.9709634,13.3699437,1,NA,NA,2005,NA,NA,30,0,30,0,30,0,2,5997,0,0,0,0,0,392,392,392,250,NA,NA,NA,NA,NA,64.1890943098041,30.3135635588104,0.00373306454972188,33.8755333898586,35.8071725349437
"GMB","GM",4913,47635,47635,16786,-15.200467,13.5341143,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5866,NA,NA,NA,NA,225.568501954726,395,395,395,251,28.9764709472656,27.3394641876221,14.9215173721313,1.63700449466705,6.10201263427734,52.6954910067663,20.4486720759982,0.392529260658507,32.2468160791019,46.9119847079965
