"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"GMB","GM",4916,47663,47663,"sohm",16926,-16.4921253,13.1828242,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6125,NA,NA,NA,NA,296.88082198099,363,363,363,241,8.47230734819334,6.63313792623846,1.5309893448877,1.83916934120841,1.21427480394734,78.9836982984698,27.8930798874848,0.132000945080663,51.0906196974605,20.884302234943
"GMB","GM",4916,47663,47663,"sohm lower basic school",16927,-16.49137167,13.185315,3,NA,NA,2015,NA,NA,50,0,50,3,50,0,1,6115,0,0.06,0,0.0566037735849056,296.88082198099,364,364,364,242,3.94162253928945,3.0863524588565,0.723740050672458,0.85527003910163,0.574288490934276,83.5818875197113,29.3584700643476,0.130224624160772,54.2234189540004,16.287889253866
"GMB","GM",4911,47623,47623,"sololo",16777,-14.6791893,13.4517208,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5742,NA,NA,NA,NA,0,365,365,366,243,NA,NA,NA,NA,NA,91.6289433876111,12.9620032584934,0.32241172640927,78.6669403851063,8.04864525289577
"GMB","GM",4911,47623,47623,"sololo basic cycle school",16778,-14.6791893,13.4517208,1,NA,NA,2015,NA,NA,48,0,48,0,48,0,1,5746,0,0,0,0,0,366,366,365,243,NA,NA,NA,NA,NA,91.6289433876111,12.9620032584934,0.32241172640927,78.6669403851063,8.04864525289577
"GMB","GM",4913,47636,47636,"soma",16795,-15.5386447,13.4442078,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5877,NA,NA,NA,NA,0,367,367,368,244,NA,NA,NA,NA,NA,99.7358818240403,1.41203643474571,0.0027741556569622,98.3238453049918,0.26134472663248
"GMB","GM",4913,47636,47636,"soma lower basic",16796,-15.5386447,13.4442078,1,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5874,0,0,0,0,0,368,368,367,244,NA,NA,NA,NA,NA,99.7358818240403,1.41203643474571,0.0027741556569622,98.3238453049918,0.26134472663248
"GMB","GM",4916,47659,47659,"somita",16744,-16.3037052,13.2063104,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6075,NA,NA,NA,NA,0,369,369,370,245,NA,NA,NA,NA,NA,48.9988983551575,8.20465891492903,1.32719696049013,40.794235383729,49.6739050369636
"GMB","GM",4916,47659,47659,"somita basic cycle",16745,-16.3037052,13.2063104,1,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6078,0,0,0,0,0,370,370,369,245,NA,NA,NA,NA,NA,48.9988983551575,8.20465891492903,1.32719696049013,40.794235383729,49.6739050369636
"GMB","GM",4915,47651,47651,"songkunda",52567,-13.8491615,13.3767317,1,NA,NA,2005,NA,NA,31,0,31,0,31,0,2,6003,0,0,0,0,5407.45989212155,371,371,371,246,24.2454776763916,20.2839946746826,16.0226287841797,3.96148443222046,9.73189163208008,78.128329473304,29.4813515417275,0.0124002391198498,48.6469821111347,21.8592675625707
"GMB","GM",4911,47627,47627,"sotokoi",52579,-15.1076233,13.6446628,1,NA,NA,2010,NA,NA,50,8,50,0,50,2,1,5754,0.16,0,0.04,0.182641509433962,0,372,372,373,247,NA,NA,NA,NA,NA,59.2210399173906,45.7116356231514,0.421914114029974,13.5094032812308,40.3570465535528
"GMB","GM",4911,47627,47627,"sotokoi lbs",52580,-15.1076233,13.6446628,1,NA,NA,2010,NA,NA,51,0,51,0,51,0,1,5761,0,0,0,0,0,373,373,372,247,NA,NA,NA,NA,NA,59.2210399173906,45.7116356231514,0.421914114029974,13.5094032812308,40.3570465535528
"GMB","GM",4916,47664,47664,"sotokoi tintinto",16940,-16.742675,13.3664,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6156,NA,NA,NA,NA,0,374,374,375,248,NA,NA,NA,NA,NA,88.0524723329434,20.9423419415288,0.179862601838231,67.1101330070459,11.7676646850871
"GMB","GM",4916,47664,47664,"sotokoi tintinto basic cycle school",16958,-16.742675,13.3664,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6130,0,0,0,0,0,375,375,374,248,NA,NA,NA,NA,NA,88.0524723329434,20.9423419415288,0.179862601838231,67.1101330070459,11.7676646850871
"GMB","GM",4915,47651,47651,"sotuma",52568,-14.3195552,13.2938731,1,NA,NA,2005,NA,NA,31,3,31,1,31,0,2,6000,0.0967741935483871,0.032258064516129,0,0.118783499892015,0,376,376,377,249,NA,NA,NA,NA,NA,75.299037799825,25.237491314585,0.00643867353167752,50.0615482856017,24.6945195429621
"GMB","GM",4915,47651,47651,"sotuma",16869,-14.3195552,13.2938731,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5995,NA,NA,NA,NA,0,377,377,376,249,NA,NA,NA,NA,NA,78.6053378976908,20.6775626052063,0.323595707152354,57.927775532291,21.0710654791908
"GMB","GM",4915,47650,47650,"sotuma sere",16817,-14.3195552,13.2938731,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5990,NA,NA,NA,NA,0,378,378,376,249,NA,NA,NA,NA,NA,78.6053378976908,20.6775626052063,0.323595707152354,57.927775532291,21.0710654791908
"GMB","GM",4915,47650,47650,"sotuma sere lower basic",16818,-14.3195552,13.2938731,1,NA,NA,2015,NA,NA,49,0,49,0,49,0,1,5982,0,0,0,0,0,379,379,376,249,NA,NA,NA,NA,NA,78.6053378976908,20.6775626052063,0.323595707152354,57.927775532291,21.0710654791908
"GMB","GM",4916,47662,47662,"st' lower basic school",16915,-16.65434333,13.17466333,3,NA,NA,2015,NA,NA,49,5,49,1,49,0,1,6106,0.102040816326531,0.0204081632653061,0,0.113553315049547,0,380,380,71,51,20.9888122106642,20.2872041670593,1.83338400435334,0.701609061795327,7.98146348645307,64.1698238430801,19.3189161953698,0.162355100718021,44.8509058563697,35.667821217058
"GMB","GM",4916,47661,47661,"st anthony's basic cycle school",16761,-15.9980018,13.1743454,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6084,0,0,0,0,342.632915493441,381,381,381,250,18.62650016701,15.5400976783255,9.34620260236696,3.08640265355377,3.59398916230428,75.6501875652396,22.0660181750608,0.493869916752543,53.5841697871315,23.8559405606785
"GMB","GM",4914,47646,47646,"st john the baptist",17071,-15.59481,13.57505,3,NA,NA,2015,NA,NA,47,0,47,0,47,0,1,5969,0,0,0,0,680.132304719934,382,382,382,251,23.7368278537249,23.4159907788161,4.58917502353785,0.320837744552045,1.7983813474832,90.0187894136018,14.6284047599904,0.0609557728456846,75.3903848484618,9.92025309062056
"GMB","GM",4916,47664,47664,"st. aidians lbs",16959,-16.73102,13.366685,3,NA,NA,2015,NA,NA,50,0,50,2,50,1,1,6150,0,0.04,0.02,0.0558490566037735,815.741104997316,383,383,383,252,NA,NA,NA,NA,NA,90.7896224111816,19.9509797581491,0.119252812611411,70.8386438242222,9.09112582582571
"GMB","GM",4912,47633,47633,"st. john's school for the deaf",16860,-16.68027667,13.45416167,3,NA,NA,2015,NA,NA,49,0,49,0,49,0,1,5833,0,0,0,0,417.566457147549,384,384,384,253,NA,NA,NA,NA,NA,100,12.809868768159,1.72724123275674e-16,87.1901324934041,1.54353394696701e-14
"GMB","GM",4916,47667,47667,"st. mary's",16724,-16.577825,13.44674167,3,NA,NA,2015,NA,NA,49,0,49,20,49,1,1,6057,0,0.408163265306122,0.0204081632653061,0.396454307560529,940.70943408801,385,385,385,254,NA,NA,NA,NA,NA,97.4173913824062,6.13765715279551,0.0519913676650077,91.2797331159639,2.53061782642443
"GMB","GM",4914,47645,47645,"st. michael's lower basic school",16984,-16.47812833,13.53180667,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5938,0,0,0,0,0,386,386,304,201,NA,NA,NA,NA,NA,84.2015937308266,17.3821758736899,0.173571109331378,66.8194195633618,15.6248368315614
"GMB","GM",4912,47633,47633,"st.charles luwanga",16861,-16.67444,13.4540922,1,NA,NA,2015,NA,NA,50,0,50,2,50,0,1,5819,0,0.04,0,0.0377358490566037,0,387,387,113,82,NA,NA,NA,NA,NA,100,12.778896113838,1.71945622473143e-16,87.2211049296521,1.53724749199324e-14
"GMB","GM",4914,47643,47643,"st.georges tambana",16809,-16.1735323,13.5063708,1,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5914,0,0,0,0,0,388,388,411,255,NA,NA,NA,NA,NA,96.0307137667931,9.42555122208239,0.0279566370882991,86.6051665681707,3.9413278053037
"GMB","GM",4914,47645,47645,"st.mathew lower basic school",16985,-16.54236667,13.48179667,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5941,0,0,0,0,622.321525821322,389,389,389,256,NA,NA,NA,NA,NA,121.73054152913,33.1193908044861,0.308441022369833,88.6111425937871,21.6446385984211
"GMB","GM",4912,47633,47633,"star prepatory",16862,-16.68829333,13.45995833,3,NA,NA,2015,NA,NA,50,0,50,0,50,1,1,5834,0,0,0.02,0.0188679245283018,395.716606375766,390,390,390,257,NA,NA,NA,NA,NA,99.9829275004307,17.3083889726797,0.000185650080171233,82.6745405840395,0.0168868301726103
"GMB","GM",4915,47651,47651,"sudowol",52569,-13.9709634,13.3699437,1,NA,NA,2005,NA,NA,30,0,30,0,30,0,2,5997,0,0,0,0,0,391,391,392,258,NA,NA,NA,NA,NA,64.1890943098041,30.3135635588104,0.00373306454972188,33.8755333898586,35.8071725349437
"GMB","GM",4915,47651,47651,"suduwol",16870,-13.9709634,13.3699437,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5996,NA,NA,NA,NA,0,392,392,391,258,NA,NA,NA,NA,NA,72.1602457728644,23.249151084919,0.239222545772724,48.9110969550242,27.6005301687861
"GMB","GM",4915,47651,47651,"suduwol basic cycle school",16871,-13.9709634,13.3699437,1,NA,NA,2015,NA,NA,49,0,49,0,49,0,1,6001,0,0,0,0,0,393,393,391,258,NA,NA,NA,NA,NA,72.1602457728644,23.249151084919,0.239222545772724,48.9110969550242,27.6005301687861
"GMB","GM",4913,47635,47635,"sukuta",16786,-15.200467,13.5341143,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5866,NA,NA,NA,NA,225.568501954726,394,394,394,259,28.9764709472656,27.3394641876221,14.9215173721313,1.63700449466705,6.10201263427734,52.6954910067663,20.4486720759982,0.392529260658507,32.2468160791019,46.9119847079965
"GMB","GM",4913,47635,47635,"sukuta lower basic",16787,-15.1986,13.53488,3,NA,NA,2015,NA,NA,50,1,50,1,50,0,1,5864,0.02,0.02,0,0.0373584905660377,225.568501954726,395,395,395,260,28.9764709472656,27.3394641876221,14.9215173721313,1.63700449466705,6.10201263427734,51.8310177792245,20.2587185011333,0.38842149696729,31.5722965109937,47.7805657455854
"GMB","GM",4915,47655,47655,"sutukoba",17090,-14.0144902,13.5001159,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6049,NA,NA,NA,NA,0,396,396,397,261,NA,NA,NA,NA,NA,93.3809469944142,8.58298429554149,0.384052122099768,84.79796300223,6.2350011635052
"GMB","GM",4915,47655,47655,"sutukoba",52595,-14.0144902,13.5001159,1,NA,NA,2005,NA,NA,30,0,30,0,30,0,2,6051,0,0,0,0,0,397,397,396,261,NA,NA,NA,NA,NA,91.7187200167898,10.7320257036042,0.00752961122941041,80.9866902120949,8.27375189207358
"GMB","GM",4915,47655,47655,"sutukoba lower basic",17091,-14.0144902,13.5001159,1,NA,NA,2015,NA,NA,50,0,50,1,50,0,1,6052,0,0.02,0,0.0188679245283018,0,398,398,396,261,NA,NA,NA,NA,NA,93.3809469944142,8.58298429554149,0.384052122099768,84.79796300223,6.2350011635052
