"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","x","y","longitude","latitude","AnnualPrecip","AnPET","AridityIndex","geometry"
"MWI","MW",3007,28968,28968,,3,"school","mapping",2017,10,14,19,0,19,0,19,0,1,26915,0,0,0,0,761.5559578199,21,21,21,20,51.122451976185,48.7277827308146,2.75443792834205,2.39466948238175,46.1231094128298,97.7301141152239,1.34606745319377,2.14830912335997,96.3840493323312,0.121575405817519,2534.12447386707,1079.51732582916,3767998.18486629,-1234657.95249688,33.8485036,-11.02249546,422.47562916099,867.974516069575,0.243653187376897,c(3767998.18486629, -1234657.95249688)
"MWI","MW",3004,28965,28965,,3,"school","mapping",2012,10,14,30,0,30,0,30,0,1,26614,0,0,0,0,3704.8167326953,22,22,22,21,42.7441065378821,42.6246071953457,6.54323219808308,0.119498260989806,50.7126632349946,91.8121281862577,55.8920422371351,2.44976910519788,35.9200862164614,5.73810344142368,253.450312765613,755.87563520005,3878633.21663847,-1668674.62642195,34.842355,-14.821825,502.00725438787,852.511767926595,0.294386510091274,c(3878633.21663847, -1668674.62642195)
"MWI","MW",2992,28953,28953,,3,"school","mapping",2015,15,16,11,0,11,0,11,0,1,26720,0,0,0,0,265.58173498241,23,23,23,22,36.0541887283325,34.0384721755981,32.1511054039001,2.01571667194366,31.7947053909302,82.3257446289062,6.35674244165421,6.13687016069889,75.9690036773682,11.537383512361,1028.14881307463,522.107775999925,3866879.54820306,-1352935.96981836,34.73677,-12.0635,,,,c(3866879.54820306, -1352935.96981836)
"MWI","MW",2984,28945,28945,,1,"school","mapping",2012,10,14,30,2,30,0,30,0,1,26980,0.0666666666666667,0,0,0.0628930817610063,918.00731277559,25,25,25,24,47.7573992743509,32.1929044861898,0.431948810492768,15.5644962955915,51.81065181873,98.63699815539,10.3790467214243,0.0857412172806237,88.2579519977592,1.27725914705453,3937.89850468215,1049.48182414324,3898050.85352873,-1777717.61556056,35.0167866,-15.7666707,509.35613894414,777.742896502265,0.328133080301805,c(3898050.85352873, -1777717.61556056)
"MWI","MW",3006,28967,28967,,3,"","",2002,9,10,60,2,60,0,60,0,2,29200,0.0333333333333333,0,0,0.0314465408805031,134.942564159108,26,26,26,25,34.5292048208805,34.4577641715416,27.9463919898634,0.0714388444269935,37.5244078317361,65.5467239415754,63.821483528393,1.69461794575362,1.72523767509575,32.7586588904743,269.65322157725,641.485451439999,3963252.28228701,-1750490.30567683,35.602501,-15.53115,556.16537723281,842.80175909594,0.32986761510011,c(3963252.28228701, -1750490.30567683)
"MWI","MW",3006,28967,28967,,3,"school","mapping",2017,10,14,29,0,29,0,29,0,1,27206,0,0,0,0,134.942564159108,27,27,27,26,42.9368767309881,42.8488880901434,16.4533434358922,0.0879871123716283,40.6097798287614,81.6039484666096,76.941058389121,3.22302689612889,4.66288826435218,15.1730265109873,443.928791963137,641.517676230285,3963326.41550191,-1750603.06099632,35.60316695,-15.53212591,556.16537723281,842.80175909594,0.32986761510011,c(3963326.41550191, -1750603.06099632)
"MWI","MW",3007,28968,28968,,3,"school","mapping",2017,10,14,16,0,16,0,16,0,1,26916,0,0,0,0,7075.84196704048,32,32,32,30,47.6688431779866,46.4285235578729,6.3557337584136,1.2403194672629,45.9754241464505,78.0247639243088,37.3951608975781,7.81019882678616,40.6296036366503,14.1650373532688,35.8163421543666,1429.46514588405,3798997.1464695,-1212521.3936594,34.12697201,-10.82724343,571.753306353045,782.549954079845,0.366086254374061,c(3798997.1464695, -1212521.3936594)
"MWI","MW",2996,28957,28957,,3,"school","mapping",2017,10,13,30,0,30,0,30,0,1,26575,0,0,0,0,11924.7759953622,34,34,34,32,43.4541413171677,43.2428893837428,16.7279848594174,0.211249726446893,39.8178747274869,81.5512320669103,67.9111789077651,1.79635584772649,13.6400507964913,16.6524129959196,210.83075012041,1099.4889712,3674355.49450235,-1534626.91768956,33.007297,-13.65466719,481.887648972087,916.77217767547,0.262773428771394,c(3674355.49450235, -1534626.91768956)
"MWI","MW",2991,28952,28952,,3,"school","mapping",2017,10,14,30,0,30,0,30,0,1,26396,0,0,0,0,3365.94114520927,35,35,35,33,46.9471569553085,46.8139358157619,4.17248737915227,0.133218346114783,48.8803535929062,96.4939976311401,89.0939445039629,1.06958223694176,7.40005472842088,2.43642022357065,85.7489641852943,1062.52920519388,3712666.34216173,-1496698.18876143,33.3514492,-13.32334699,395.760095654812,917.2965665834,0.215652634860272,c(3712666.34216173, -1496698.18876143)
"MWI","MW",3005,28966,28966,,3,"school","mapping",2012,11,16,30,2,30,0,30,0,1,26655,0.0666666666666667,0,0,0.0628930817610063,2293.01869903046,36,36,36,34,41.1427028440751,40.9873297066996,8.6926935249343,0.155374592876873,50.1646023656921,60.7776391309437,60.6550476725479,5.44395945039102,0.12259253188035,33.7784025532468,66.3735548077425,1105.50250816001,3772790.64479222,-1471768.53809003,33.891555,-13.10533,481.101220759342,871.679018015445,0.276002360498465,c(3772790.64479222, -1471768.53809003)
