"Row.names","iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"141","ETH","ET",1948,3159,18946,"rayya",52433,37.0569,8.4420204,3,NA,NA,2009,NA,NA,95,44,NA,NA,95,21,NA,NA,95,0,NA,NA,1,5197,0.463157894736842,0.221052631578947,0,0.548894580044949,56344.0439264274,140,140,140,120,12.577859015719,12.065136563047,42.1327473549033,0.512722249771845,45.2893930700993,45.2144986266647,26.7397123993015,16.453715716689,18.4747878272965,38.3317866214667
"142","ETH","ET",1943,3171,18602,"sanja",NA,37.3,12.983333,3,NA,NA,2013,5,19,384,42,NA,NA,384,6,NA,NA,384,1,NA,NA,1,29495,0.109375,0.015625,0.0026041666666666,0.118466143338185,0,141,141,142,121,23.2603967154839,22.472815403189,46.0437703096758,0.787580556735239,30.6958316978857,59.3575343546305,19.2787726906017,16.3702342223379,40.0787619674905,24.2722306038298
"143","ETH","ET",1943,3171,18602,"sanja town",NA,37.3,12.983333,3,NA,NA,2013,NA,NA,385,143,NA,NA,385,62,NA,NA,385,3,NA,NA,1,29537,0.371428571428571,0.161038961038961,0.0077922077922077,0.449775715235861,0,142,142,141,121,23.2603967154839,22.472815403189,46.0437703096758,0.787580556735239,30.6958316978857,59.3575343546305,19.2787726906017,16.3702342223379,40.0787619674905,24.2722306038298
"144","ETH","ET",1943,3180,18629,"school in addis ababa",NA,38.8167,4.75,4,NA,NA,2005,7,17,50,0,NA,NA,50,3,NA,NA,50,1,NA,NA,2,31348,0,0.06,0.02,0.0743396226415094,72512.066079018,143,143,143,122,10.5035705783815,10.261684518506,72.0112949014322,0.24188615298034,17.48513206419,41.1394345119582,20.3717265185363,37.0795957752987,20.7677070398296,21.7809715243762
"145","ETH","ET",1948,3144,18746,"school in addis ababa",52142,39.266701,8.5500002,3,NA,NA,2005,NA,NA,50,3,NA,NA,50,8,NA,NA,50,1,NA,NA,2,5098,0.06,0.16,0.02,0.213388679245283,35648.7738817687,144,144,144,123,33.5523819906965,32.8988611643746,28.3550219119529,0.653521727560541,38.0925964879644,47.7111042603994,15.8867160476807,23.4916749247106,31.824388196287,28.7972218621149
"146","ETH","ET",1944,3131,18687,"school in addis ababa",52187,38.7279819,8.9963835,2,NA,NA,2005,NA,NA,49,15,NA,NA,49,6,NA,NA,49,0,NA,NA,2,5071,0.306122448979592,0.122448979591837,0,0.368950044399739,0,145,145,146,124,55.9792687670516,47.3732828756443,17.0299085404583,8.60598416642776,26.990823513023,96.264620371237,3.0036274651627,0.472705635464411,93.2609924388509,3.26267338644492
"147","ETH","ET",1948,3135,18764,"school in addis ababa",52171,38.7279819,8.9963835,2,NA,NA,2005,NA,NA,50,0,NA,NA,50,3,NA,NA,50,1,NA,NA,2,5109,0,0.06,0.02,0.0743396226415094,0,146,146,145,124,55.9792687670516,47.3732828756443,17.0299085404583,8.60598416642776,26.990823513023,96.264620371237,3.0036274651627,0.472705635464411,93.2609924388509,3.26267338644492
"148","ETH","ET",1947,3154,18732,"school in addis ababa",52358,42.116699,9.3166704,3,NA,NA,2005,NA,NA,50,11,NA,NA,50,11,NA,NA,50,0,NA,NA,2,5088,0.22,0.22,0,0.369433962264151,0,147,147,148,125,46.8527612437514,44.8383478846957,41.7611978929266,2.01440811566828,11.3860434187307,68.7688726771214,22.8840516387587,10.0002285748917,45.8848177375337,21.2309010284028
"149","ETH","ET",1947,3154,18732,"school in addis ababa",52358,42.116699,9.3166704,3,NA,NA,2005,NA,NA,65,1,NA,NA,65,2,NA,NA,65,1,NA,NA,2,5094,0.0153846153846153,0.0307692307692307,0.0153846153846153,0.05694557758865,0,148,148,147,125,46.8527612437514,44.8383478846957,41.7611978929266,2.01440811566828,11.3860434187307,68.7688726771214,22.8840516387587,10.0002285748917,45.8848177375337,21.2309010284028
"15","ETH","ET",1943,3178,18596,"amora gedel",52304,39.4801007,12.1509721,1,NA,NA,1995,NA,NA,85,21,NA,NA,85,47,NA,NA,85,17,NA,NA,3,5013,0.247058823529412,0.552941176470588,0.2,0.689351700724685,31689.1598016411,14,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
